SUBURB_ID,LABEL
10351,"Solapur Center"
11422,"Solapur East"
11258,"Solapur Mangalwedha Road"
11326,"Solapur North"
10358,"Solapur South"
11423,"Solapur West"
10169,"Sonepat Central"
11479,"Sorkha Jahidabad"
10180,"South City 1"
10200,"South City 2"
11472,"South Hyderabad"
11473,"South West Delhi"
10974,"Southern Peripheral Road"
11298,"Srinagar South"
11328,"SSB Road"
10218,"State Highway 25"
10331,Surajkund
10116,"Surat Central"
10355,"Surat East"
10384,"Surat North"
10347,"Surat South"
10411,"Surat West"
11456,"Surya Nagar"
11467,Talasari
10204,Tappal
11332,"Tapukara Rewari Mega Highway"
10048,Thane
11436,Thanesar
10443,"Thanisandra Main Road"
11309,"Thanjavur East"
11488,Tharamani
11490,"Theni East"
10462,"Thiruvannamalai Central"
10463,"Thiruvannamalai East"
10465,"Thiruvannamalai North"
10466,"Thiruvannamalai South"
10464,"Thiruvannamalai West"
10340,"Thrissur Central"
10343,"Thrissur East"
10345,"Thrissur North"
10377,"Thrissur South"
10393,"Thrissur West"
11047,Tindivanam
10294,"Tirunelveli Central"
10460,"Tirunelveli North"
10461,"Tirunelveli South"
10327,"Tirupati Central"
11220,"Tirupati North"
11218,"Tirupati South"
11219,"Tirupati West"
11028,"Tiruppur South"
11138,"Tiruppur West"
10122,"Trichy Central"
10431,"Trichy East"
10321,"Trichy North"
10479,"Trichy South"
10484,"Trichy West"
10106,"Trivandrum Central"
10554,"Trivandrum East"
10319,"Trivandrum North"
10407,"Trivandrum South"
10551,"Trivandrum West"
11068,"Tumakuru Central"
11069,"Tumakuru East"
11072,"Tumakuru North"
11071,"Tumakuru South"
11070,"Tumakuru West"
11039,"Tuticorin Central"
11040,"Tuticorin East"
11042,"Tuticorin North"
11043,"Tuticorin South"
11041,"Tuticorin West"
11106,"Udaipur Central"
11102,"Udaipur East"
11105,"Udaipur North"
11104,"Udaipur South"
11103,"Udaipur West"
10494,"Udham Singh Nagar Central"
10539,Udupi
10531,"Udupi Central"
10529,"Udupi North"
10114,"Vadodara Central"
10231,"Vadodara East"
11255,"Vadodara Halol Road"
10309,"Vadodara North"
10269,"Vadodara South"
10232,"Vadodara West"
10209,Vaishali
10440,"Valsad South"
10266,"Vandalur Kelambakkam Road"
10265,"Vandalur Road"
10137,"Varanasi Central"
10507,"Varanasi East"
10452,"Varanasi North"
10509,"Varanasi South"
10508,"Varanasi West"
10194,Vasundhara
10131,"Vellore Central"
10534,"Vellore East"
10997,"Vellore South"
11229,"Vijayapura East"
11230,"Vijayapura West"
10365,"Vijayawada Central"
10514,"Vijayawada East"
10369,"Vijayawada North"
10138,"Vijayawada South"
11172,"Vijayawada West"
11294,"Villupuram North"
10117,"Visakhapatnam Central"
10310,"Visakhapatnam North"
10366,"Visakhapatnam West"
10178,"Wadala Pathardi Road"
10325,"Warangal Central"
11286,"Wayanad South"
10176,"West Delhi"
11306,"West Godavari South"
11312,"West Godavari West"
10512,Whitefield
10299,"Worli to Andheri"
10052,"Yamuna Expressway"
11198,"Yamuna Expressway"
11080,"Yamuna Expressway"
11320,"Zirakpur Panchkula Kalka Highway"
11322,"Zirakpur Panchkula Kalka Hwy"
